2   2.13918 0.0323231788807  1.34026 0.00788851064654  0.73992 0.0222662430896    0.925783 0.00429811836572  1.33018 0.00402248948213
3   3.26302 0.0601414860046  1.97353 0.00784849858582  0.752018 0.027920063588    0.363692 0.0014192890057   1.96558 0.0257643657329
4   3.71121 0.0697122282461  2.55325 0.0119036401546   0.750966 0.0279652576145   0.651469 0.00276159371241  2.43431 0.028257898204
5   4.405 0.0310444371928    3.17001 0.0132638386089   0.807601 0.0261913300214   0.664227 0.00443869285767  2.95847 0.0231247697217
6   5.09968 0.065190140985   3.67154 0.0104301242043   0.816546 0.0228938954099   0.854235 0.00354431876695  3.36583 0.0397257077781
7   5.53667 0.0865421735324  4.27341 0.0155649469577   0.82933 0.0281443575459    0.834052 0.00354535230309  3.80592 0.0238536090195
8   5.73981 0.104079814375   4.78042 0.0257405407179   0.804761 0.0305469719395   0.846578 0.0042350996788   4.3507 0.0389915434179
9   7.52968 0.0887537625921  5.21993 0.0171981242797   0.818464 0.0260132642623   0.900477 0.00366215265627  4.32737 0.0721286090754
10  7.98701 0.14076388229    5.63068 0.0689001083042   0.865157 0.00366394152462  0.904309 0.00244850284994  4.94774 0.0320921902066
