2   1.85800369291 0.03223680401    1.29048871996 0.00990373797296  0.758393576186 0.0236648643322  0.923147111545 0.00708057172102  1.31087968547 0.00805013841523
3   2.46160577011 0.0462862611375  1.63876858158 0.00798086745215  0.771283473405 0.0270602063255  0.363465283872 0.00262064186929  1.69580069031 0.0193823582943
4   2.63370716833 0.0444256271838  1.91364935759 0.0133242363556   0.759125907585 0.0267764796171  0.649929973967 0.00486312497746  1.93361450223 0.0225335012352
5   2.90391965477 0.0311173934095  2.14010216344 0.0236115617988   0.801813401968 0.0248442269251  0.662903759458 0.00655413396778  2.14507292522 0.0202583705852
6   3.14636183622 0.0476191976735  2.24977209078 0.0259726613659   0.808197941708 0.0237255709093  0.850976887799 0.00627730311226  2.26413703992 0.0180305957716
7   3.23676908531 0.0556160841906  2.45446320153 0.0175590798602   0.810465044717 0.0249893214689  0.83110518838 0.00650511994659   2.45641582664 0.0248515402362
8   3.23978228114 0.0457147503995  2.53820273987 0.0273323729715   0.797940797479 0.0283364472771  0.844017022378 0.00691479753004  2.59251919062 0.0315799816826
9   3.69841890107 0.0662838673414  2.61720022324 0.021211874484    0.80193604703 0.0257348349382   0.896729974604 0.00669878666099  2.54326542817 0.0295695030333
10  3.8018665444 0.0639496845333   2.67466563536 0.0308723848062   0.845103833003 0.0097298402948  0.901622317206 0.00558476711427  2.71543999167 0.0275204334504
