2   0.00764479 0.00764479  7.85966e-07 7.85966e-07  0.521053 0.521053  0.416231 0.416231  0.0224466 0.0224466
3   0.0150181 0.0150181    3.92983e-05 3.92983e-05  0.7 0.7            0.564661 0.564661  0.0348125 0.0348125
4   0.0174697 0.0174697    2.3579e-06 2.3579e-06    0.784211 0.784211  0.642371 0.642371  0.0429795 0.0429795
5   0.0221178 0.0221178    3.14387e-06 3.14387e-06  0.842105 0.842105  0.692553 0.692553  0.049678 0.049678
6   0.0245205 0.0245205    8.56703e-05 8.56703e-05  0.873684 0.873684  0.727607 0.727607  0.0541387 0.0541387
7   0.0274743 0.0274743    9.11721e-05 9.11721e-05  0.9 0.9            0.751078 0.751078  0.0564424 0.0564424
8   0.0298831 0.0298831    5.50176e-06 5.50176e-06  0.915789 0.915789  0.77136 0.77136    0.0622032 0.0622032
9   0.0323327 0.0323327    0.000119467 0.000119467  0.931579 0.931579  0.787101 0.787101  0.0654462 0.0654462
10  0.0334636 0.0334636    7.0737e-06 7.0737e-06    0.942105 0.942105  0.799372 0.799372  0.0671181 0.0671181
