2   1.00625 1.00625  1 1              1.00488 1.00488  1.41362 1.41362  1.01314 1.01314
3   1.01232 1.01232  1.00002 1.00002  1.0006 1.0006    1.3658 1.3658    1.02059 1.02059
4   1.01417 1.01417  1 1              1.00027 1.00027  1.32016 1.32016  1.0241 1.0241
5   1.01779 1.01779  1 1              1.00014 1.00014  1.28789 1.28789  1.0301 1.0301
6   1.01915 1.01915  1.00003 1.00003  1.00011 1.00011  1.26211 1.26211  1.02956 1.02956
7   1.02163 1.02163  1.00008 1.00008  1.00009 1.00009  1.24382 1.24382  1.0313 1.0313
8   1.02349 1.02349  1 1              1.00008 1.00008  1.22769 1.22769  1.0351 1.0351
9   1.02477 1.02477  1.00007 1.00007  1.00007 1.00007  1.21344 1.21344  1.03588 1.03588
10  1.02606 1.02606  1 1              1.00006 1.00006  1.20544 1.20544  1.03579 1.03579
